icon_id,set_id,set_name,label,category,normalized_path,foreground_area_ratio,canny_edge_density,connected_components,quadtree_leaf_count,quadtree_structural_variability,quadtree_mean_leaf_size
0b536ae36e8ac25f,05_mulberry_symbols,Mulberry Symbols,A,iconsets,icon_data/normalized_256/05_mulberry_symbols/a__0b536ae36e8a.png,0.2325592041015625,0.012451171875,1.0,595.0,0.145263671875,110.14453781512606
0b5e70af0684900a,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga coatcheck,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_coatcheck__0b5e70af0684.png,0.1689910888671875,0.0234832763671875,1.0,886.0,0.21630859375,73.96839729119638
0bc024cae070cc1b,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,building facility destroyed,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/building_facility_destroyed__0bc024cae070.png,0.6253662109375,0.0335540771484375,4.0,1057.0,0.258056640625,62.00189214758751
0bc1e8eca284bbb0,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,i health education,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/i_health_education__0bc1e8eca284.png,0.984375,0.05206298828125,1.0,1.0,0.000244140625,65536.0
0bc7b42c3a6c791e,03_mapbox_maki_icons,Mapbox Maki,circle stroked,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/circle_stroked__0bc7b42c3a6c.png,0.504730224609375,0.0006103515625,1.0,808.0,0.197265625,81.10891089108911
0c2fc4eef9275cc9,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W029,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w029__0c2fc4eef927.png,0.875,0.054901123046875,1.0,88.0,0.021484375,744.7272727272727
0d045bd3e3bf595b,07_arasaac_pictograms,ARASAAC Pictograms,ping-pong,sport modality,icon_data/normalized_256/07_arasaac_pictograms/10164__0d045bd3e3bf.png,0.558746337890625,0.0765533447265625,6.0,916.0,0.2236328125,71.54585152838428
0d486c801bc695ee,10_openmoji,OpenMoji,keycap: 7,symbols / keycap,icon_data/normalized_256/10_openmoji/0037_fe0f_20e3__0d486c801bc6.png,0.505126953125,0.024993896484375,1.0,520.0,0.126953125,126.03076923076924
0d5b194d097b730a,07_arasaac_pictograms,ARASAAC Pictograms,beer,beverage; alcoholism,icon_data/normalized_256/07_arasaac_pictograms/10223__0d5b194d097b.png,0.5046844482421875,0.089202880859375,2.0,712.0,0.173828125,92.04494382022472
0d671d32bec85d0c,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga BarberShop,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_barbershop__0d671d32bec8.png,0.3433837890625,0.047515869140625,4.0,1531.0,0.373779296875,42.8060091443501
0db27129c0b71a97,12_iso_15223_medical_device_symbols,ISO 15223 Medical Device Symbols,do not re use,medical device label,icon_data/normalized_256/12_iso_15223_medical_device_symbols/do_not_re_use__0db27129c0b7.png,0.1343841552734375,0.036865234375,1.0,1171.0,0.285888671875,55.96584116140051
0dbe74d0ea5067c3,12_iso_15223_medical_device_symbols,ISO 15223 Medical Device Symbols,serial number,medical device label,icon_data/normalized_256/12_iso_15223_medical_device_symbols/serial_number__0dbe74d0ea50.png,0.166046142578125,0.032379150390625,3.0,1258.0,0.30712890625,52.095389507154216
0de655bf41d15d27,03_mapbox_maki_icons,Mapbox Maki,gaming,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/gaming__0de655bf41d1.png,0.524658203125,0.0052490234375,1.0,631.0,0.154052734375,103.86053882725832
0e14f4458e64764c,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga noentry,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_noentry__0e14f4458e64.png,0.7774658203125,0.0203857421875,1.0,592.0,0.14453125,110.70270270270271
0e7fba19fbc42fe9,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W007,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w007__0e7fba19fbc4.png,0.875,0.0382843017578125,1.0,88.0,0.021484375,744.7272727272727
0f1269028a10d1a1,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,i restrooms,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/i_restrooms__0f1269028a10.png,0.6201629638671875,0.042694091796875,4.0,1252.0,0.3056640625,52.34504792332268
0f24268c87538a24,10_openmoji,OpenMoji,regional indicator A,extras-unicode / regional-indicator,icon_data/normalized_256/10_openmoji/1f1e6__0f24268c8753.png,0.203643798828125,0.0318756103515625,2.0,1252.0,0.3056640625,52.34504792332268
0f3e82b2e0316a1d,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,ear nose throat,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/ear_nose_throat__0f3e82b2e031.png,0.7257232666015625,0.0389862060546875,3.0,940.0,0.2294921875,69.71914893617021
0f78844100b97da7,07_arasaac_pictograms,ARASAAC Pictograms,close,verb; human anatomy; visual system,icon_data/normalized_256/07_arasaac_pictograms/10146__0f78844100b9.png,0.098968505859375,0.024169921875,5.0,370.0,0.09033203125,177.12432432432433
0f8cade296175730,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W030,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w030__0f8cade29617.png,0.8671875,0.0437164306640625,1.0,376.0,0.091796875,174.29787234042553
1011e0d2bd4a96a6,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,i respiratory,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/i_respiratory__1011e0d2bd4a.png,0.5644683837890625,0.036529541015625,1.0,1147.0,0.280029296875,57.13687881429817
