rank,distance,source_icon_id,source_set_id,source_set_name,source_label,source_category,source_normalized_path,target_icon_id,target_set_id,target_set_name,target_label,target_category,target_normalized_path
41,0.9204976561708069,1e157882b7150c13,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W035,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w035__1e157882b715.png,b9de8a34c070b448,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,alert,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/alert__b9de8a34c070.png
42,0.9210063758455749,45d94eaae0a915ae,03_mapbox_maki_icons,Mapbox Maki,hospital,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/hospital__45d94eaae0a9.png,bf3dc9f7d43e8167,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,i health services,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/i_health_services__bf3dc9f7d43e.png
43,0.921372305644491,15eae1fecd0afd94,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,conflict,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/conflict__15eae1fecd0a.png,a078da5a3e833fdc,10_openmoji,OpenMoji,circled anticlockwise arrow,extras-unicode / symbol-other,icon_data/normalized_256/10_openmoji/1f10e__a078da5a3e83.png
44,0.9247903017869228,ce2045d9f501bec1,03_mapbox_maki_icons,Mapbox Maki,circle,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/circle__ce2045d9f501.png,fd46387c8add6704,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,damaged affected,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/damaged_affected__fd46387c8add.png
45,0.9252140547715851,15eae1fecd0afd94,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,conflict,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/conflict__15eae1fecd0a.png,ebb27d9f901db57b,10_openmoji,OpenMoji,copyright,symbols / other-symbol,icon_data/normalized_256/10_openmoji/00a9__ebb27d9f901d.png
46,0.9257148419779155,32563da2888cb9c8,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W012,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w012__32563da2888c.png,7ec398ff09ac8543,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,camp coordination and camp management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/camp_coordination_and_camp_management__7ec398ff09ac.png
47,0.9288683739709412,15eae1fecd0afd94,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,conflict,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/conflict__15eae1fecd0a.png,4326713e6d159ffb,10_openmoji,OpenMoji,copyleft symbol,extras-unicode / symbol-other,icon_data/normalized_256/10_openmoji/1f12f__4326713e6d15.png
48,0.9300109555454369,2faf915cd946a094,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,i dental,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/i_dental__2faf915cd946.png,439673af454e212d,03_mapbox_maki_icons,Mapbox Maki,dentist,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/dentist__439673af454e.png
49,0.9329498191860691,45c3be26acc9e457,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,20 airtransportation,,icon_data/normalized_256/02_aiga_dot_symbol_signs/20_airtransportation__45c3be26acc9.png,816b86edbeb4132c,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,airport,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/airport__816b86edbeb4.png
50,0.9331009949254855,9ed14749475a0308,03_mapbox_maki_icons,Mapbox Maki,building,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/building__9ed14749475a.png,ba8c66f46e983aba,10_openmoji,OpenMoji,NG button,symbols / alphanum,icon_data/normalized_256/10_openmoji/1f196__ba8c66f46e98.png
51,0.9341180894958457,10a12861bfd41cb7,03_mapbox_maki_icons,Mapbox Maki,elevator,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/elevator__10a12861bfd4.png,a2849a77c6027ed0,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,case management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/case_management__a2849a77c602.png
52,0.9344958171899042,0125e5eaa978b2be,10_openmoji,OpenMoji,circled cc,extras-unicode / symbol-other,icon_data/normalized_256/10_openmoji/1f16d__0125e5eaa978.png,15eae1fecd0afd94,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,conflict,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/conflict__15eae1fecd0a.png
53,0.935999978665962,71bd84f092815ba6,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,epidemic,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/epidemic__71bd84f09281.png,b8d532b96649ad9b,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W015,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w015__b8d532b96649.png
54,0.9374148257258651,7ec398ff09ac8543,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,camp coordination and camp management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/camp_coordination_and_camp_management__7ec398ff09ac.png,d6d03492bf008216,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W001,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w001__d6d03492bf00.png
55,0.9389244734802322,0ca7c67b9607dd2a,13_usp_pictograms_manual,USP Pictograms,47,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/47__0ca7c67b9607.png,f7d82e130ffce18a,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W016,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w016__f7d82e130ffc.png
56,0.9393922897517567,71bd84f092815ba6,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,epidemic,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/epidemic__71bd84f09281.png,9198bbcd6bccdff0,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W025,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w025__9198bbcd6bcc.png
57,0.9402460374332889,b9de8a34c070b448,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,alert,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/alert__b9de8a34c070.png,cb42c40961b71681,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W037,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w037__cb42c40961b7.png
